PAYMENT_ID,MERCHANT_PAYMENT_ID,AMOUNT,CURRENCY,PAYMENT_REFERENCE,CREATION_TIME_UTC,LAST_STATUS_UPDATE_TIME_UTC,FINAL_STATUS_TIME_UTC,STATUS,INSTITUTION_ID,PAYMENT_TYPE,PAYER_EMAIL,IS_REFUNDED,AMOUNT_REFUNDED,LAST_REFUND_TIME,IS_PAY_BY_LINK,PROVIDED_PAYER_NAMES
019ad7d7-398b-7c70-835d-01a4a6381064,TXN64420978,105.00,GBP,251201023397778IWC,2025-12-01 02:56:38,2025-12-01 02:57:22,2025-12-01 02:57:22,SETTLED,nationwide,VOLUME,,false,0,,false,
019ad8d3-da31-7166-9c36-09be0c944377,TXN10775806,502.00,GBP,251201071953980RPN,2025-12-01 07:32:34,2025-12-01 07:33:16,2025-12-01 07:33:16,SETTLED,revolut,VOLUME,,false,0,,false,
019ad8e3-16a0-77f6-89dc-352331a5a059,TXN15733553,973.00,GBP,251201072952488VJ4,2025-12-01 07:49:13,2025-12-01 07:50:43,2025-12-01 07:50:43,SETTLED,lloyds,VOLUME,,false,0,,false,
019ad8ec-c30d-7514-b451-65ef90616a6e,TXN66068466,115.00,GBP,251201073586459WEW,2025-12-01 07:59:47,2025-12-01 08:00:44,2025-12-01 08:00:44,SETTLED,santander_uk,VOLUME,,false,0,,false,
019ad920-de1c-7fc3-af93-fcf80b69da62,TXN97725692,120.00,GBP,251201083401252MC6,2025-12-01 08:56:41,2025-12-01 08:57:19,2025-12-01 08:57:19,SETTLED,halifax,VOLUME,,false,0,,false,
019ad921-ead5-7e15-b0d0-24abb6742b23,TXN08560581,550.00,GBP,251201083470051GUC,2025-12-01 08:57:50,2025-12-01 08:58:15,2025-12-01 08:58:15,SETTLED,revolut,VOLUME,,false,0,,false,
019ad957-d85e-77ad-bdbe-196fe60af2d3,TXN52348588,160.00,GBP,251201093404268RME,2025-12-01 09:56:44,2025-12-01 09:57:19,2025-12-01 09:57:19,SETTLED,halifax,VOLUME,,false,0,,false,
019ad959-1068-750a-8776-ae82103efa80,TXN45157382,120.00,GBP,251201093484154NSN,2025-12-01 09:58:06,2025-12-01 09:58:35,2025-12-01 09:58:35,SETTLED,halifax,VOLUME,,false,0,,false,
019ad95a-ab9e-7b4c-9cab-9c3d7e7d9c20,TXN10811687,272.00,GBP,251201093589416NVM,2025-12-01 09:59:49,2025-12-01 10:00:13,2025-12-01 10:00:13,SETTLED,revolut,VOLUME,,false,0,,false,
019ad95b-f3dd-7227-a50a-15c290638b8f,TXN81666794,80.00,GBP,251201100734488APH,2025-12-01 10:01:14,2025-12-01 10:02:37,2025-12-01 10:02:37,SETTLED,halifax,VOLUME,,false,0,,false,
019ad95d-e56a-7339-b155-d89b7e6db687,TXN89075915,80.00,GBP,25120110200823H23G,2025-12-01 10:03:21,2025-12-01 10:03:50,2025-12-01 10:03:50,SETTLED,halifax,VOLUME,,false,0,,false,
019ad95f-6404-7383-83c2-bc98d311cef0,TXN05921664,80.00,GBP,25120110298769PHBD,2025-12-01 10:04:59,2025-12-01 10:05:38,2025-12-01 10:05:38,SETTLED,halifax,VOLUME,,false,0,,false,
019ad9bf-f5d0-7410-a265-0ef99c4928f7,TXN66412390,336.00,GBP,251201113027546NKQ,2025-12-01 11:50:28,2025-12-01 11:50:53,2025-12-01 11:50:53,SETTLED,revolut,VOLUME,,false,0,,false,
019ad9ca-453b-7632-bdcb-75e640fdd27e,TXN89925615,160.00,GBP,25120112103236IH6S,2025-12-01 12:01:43,2025-12-01 12:02:50,2025-12-01 12:02:50,SETTLED,revolut,VOLUME,,false,0,,false,
019ada25-1aa2-79e5-ad11-4649224d8bad,TXN20816212,100.00,GBP,251201132456112NE2,2025-12-01 13:40:56,2025-12-01 13:41:52,2025-12-01 13:41:52,SETTLED,halifax,VOLUME,,false,0,,false,
019adadf-aaed-7b3c-9455-0b239313359f,TXN15736736,320.00,GBP,25120117282749Q0C6,2025-12-01 17:04:43,2025-12-01 17:05:54,2025-12-01 17:05:54,SETTLED,lloyds,VOLUME,,false,0,,false,
019adaf1-e189-7486-a12b-fdf89d340406,TXN53744936,23.00,GBP,251201171476379FDC,2025-12-01 17:24:37,2025-12-01 17:26:31,2025-12-01 17:26:31,SETTLED,lloyds,VOLUME,,false,0,,false,
019adb1b-bedb-7504-809d-bd75f2b4ccb4,TXN33571202,160.00,GBP,25120118620009MYKK,2025-12-01 18:10:20,2025-12-01 18:10:20,,AWAITING_AUTHORIZATION,monzo_ob,VOLUME,,false,0,,false,
019adbaf-81bf-7acf-b97a-55078a152da1,TXN83741730,180.00,GBP,251201203103694IRX,2025-12-01 20:51:44,2025-12-01 20:52:26,2025-12-01 20:52:26,SETTLED,lloyds,VOLUME,,false,0,,false,
019adc0c-54f2-767d-bcbd-2180ea3911c2,TXN82311446,50.00,GBP,251201221987070ZVA,2025-12-01 22:33:07,2025-12-01 22:33:07,2025-12-01 22:33:07,FAILED,lloyds,VOLUME,,false,0,,false,
019adc0c-a574-7670-9b2e-ba3b79e81037,TXN73728858,50.00,GBP,2512012220076764Z5,2025-12-01 22:33:28,2025-12-01 22:34:00,2025-12-01 22:34:00,SETTLED,monzo_ob,VOLUME,,false,0,,false,
019ade42-84ac-7f37-8e7d-8ec2249a6bec,TXN27922747,230.00,GBP,251202083092662IYH,2025-12-02 08:51:33,2025-12-02 08:52:06,2025-12-02 08:52:06,SETTLED,barclays,VOLUME,,false,0,,false,
019adea0-248c-7a57-8092-2b455774a156,TXN81621869,160.00,GBP,251202102028437BCQ,2025-12-02 10:33:48,2025-12-02 10:34:25,2025-12-02 10:34:25,SETTLED,barclays,VOLUME,,false,0,,false,
019adea1-4d04-728b-85ff-edc66224d7c0,TXN28414921,160.00,GBP,251202102104335GF0,2025-12-02 10:35:05,2025-12-02 10:35:33,2025-12-02 10:35:33,SETTLED,barclays,VOLUME,,false,0,,false,
019adea2-6029-7a69-8e61-4f8d5a0b9826,TXN76649239,80.00,GBP,251202102174776XVC,2025-12-02 10:36:15,2025-12-02 10:36:15,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
019adea3-3501-777b-b795-ce53d92d41e6,TXN26415524,80.00,GBP,251202102229261MOD,2025-12-02 10:37:09,2025-12-02 10:37:09,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
019adea5-4534-79b6-8977-50ee90f2e011,TXN87069450,80.00,GBP,251202102364478TLV,2025-12-02 10:39:24,2025-12-02 10:39:55,2025-12-02 10:39:55,SETTLED,barclays,VOLUME,,false,0,,false,
019adea9-deb6-7508-af7d-2a68dcf4ca61,TXN70834353,253.00,GBP,251202102665920IOH,2025-12-02 10:44:26,2025-12-02 10:45:09,2025-12-02 10:45:09,SETTLED,barclays,VOLUME,,false,0,,false,
019adebb-f62c-7fc1-a913-bdf93dd895c9,TXN42774136,280.00,GBP,251202112515897WW2,2025-12-02 11:04:12,2025-12-02 11:04:44,2025-12-02 11:04:44,SETTLED,lloyds,VOLUME,,false,0,,false,
019adebd-77be-71c3-8513-5f606c325a64,TXN62642859,200.00,GBP,25120211350282WVKN,2025-12-02 11:05:51,2025-12-02 11:06:21,2025-12-02 11:06:21,SETTLED,lloyds,VOLUME,,false,0,,false,
019adebf-3e31-7511-b5c2-c9c491fa8854,TXN18183811,16.00,GBP,25120211466617ANKQ,2025-12-02 11:07:47,2025-12-02 11:08:46,2025-12-02 11:08:46,SETTLED,lloyds,VOLUME,,false,0,,false,
019aded8-859d-7a92-9478-597309b67c50,TXN86910542,15.00,GBP,251202112123314VAK,2025-12-02 11:35:23,2025-12-02 11:35:49,2025-12-02 11:35:49,SETTLED,barclays,VOLUME,,false,0,,false,
